Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
HPD,1b,FALSE,Violations certified as corrected by owner,NA,"134,369","118,867","141,484","170,109",*,*,Neutral,NA
HPD,1b,FALSE,Housing Court cases initiated by HPD,"5,425","5,376","6,824","6,299","5,659",*,*,Neutral,Neutral
HPD,1b,FALSE,Housing Court cases initiated by HPD that were disposed,"5,040","4,769","6,183","6,365","5,633",*,*,Neutral,Up
HPD,1b,FALSE,- Cases settled,"3,534","3,301","4,802","4,827","4,308",*,*,Neutral,Up
HPD,1b,FALSE,- Cases resulting in judgments,634,610,571,721,842,*,*,Neutral,Up
HPD,1b,FALSE,Total dollars spent on emergency repairs (excluding demolition and AEP) ($),NA,"$11,077,244","$11,360,685","$11,234,213","$10,139,937",*,*,Neutral,NA
HPD,1b,FALSE,Alternative Enforcement Program - Buildings currently active,473,498,502,581,609,*,*,Neutral,Up
HPD,1b,FALSE,- Buildings discharged (cumulative),527,702,885,"1,056","1,278",*,*,Neutral,Up
HPD,1b,FALSE,- Buildings discharged from program (%) (cumulative),53%,59%,64%,65%,64%,*,*,Up,Up
HPD,1b,FALSE,Total dollars spent on emergency repairs in the Alternative Enforcement Program ($),NA,"$4,234,010","$3,980,941","$3,878,569","$1,935,904",*,*,Neutral,NA
HPD,3a,FALSE,Asset management - Rental buildings in portfolio,NA,"2,651","3,110","3,396","3,604",*,*,Neutral,NA
HPD,3a,FALSE,Physically and financially distressed rental buildings in portfolio (%),NA,0.7%,0.6%,0.5%,0.3%,*,*,Down,NA
HPD,3a,FALSE,Asset management - Co-op buildings in portfolio,NA,"1,069","1,151","1,207","1,217",*,*,Neutral,NA
HPD,3a,FALSE,Physically and financially distressed co-op buildings in portfolio (%),NA,4.8%,3.9%,3.5%,4.1%,*,*,Down,NA
HPD,4a,FALSE,-  Vouchers issued,"2,786","1,404","1,138","2,960","2,999",*,*,Up,Up
HPD,4a,FALSE,-  Households assisted,"37,116","37,232","36,859","38,128","39,058",*,*,Up,Neutral
HPD,4a,FALSE,Section 8 subsidized units in abatement (%),NA,NA,3%,2%,2%,*,*,Down,NA
HPD,4b,FALSE,Housing New York units started Ð Extremely low income (0-30% AMI),NA,NA,896,"2,653","3,767",*,*,Neutral,NA
HPD,4b,FALSE,Housing New York units started Ð Very low income (31%-50% AMI),NA,NA,"1,426","2,375","2,879",*,*,Neutral,NA
HPD,5a,FALSE,Completed customer requests for interpretation,"2,312","1,611","1,053","1,526","1,202",*,*,Neutral,Down
HRA,1a,TRUE,Cash assistance unduplicated number of persons (12-month)(000),NA,607.0,589.1,591.1,601.8,*,*,Neutral,NA
HRA,1a,FALSE,Cash Assistance unduplicated number of persons receiving recurring assistance (12-month) (000),NA,NA,489.9,484.6,492.9,*,*,Neutral,NA
HRA,1a,FALSE,Cash Assistance unduplicated number of persons receiving emergency assistance (12-month) (000),NA,NA,99.2,106.4,108.9,*,*,Neutral,NA
HRA,1a,TRUE,Cash assistance caseload (point in time)(000),190.3,193.1,182.4,192.4,196.1,*,*,Neutral,Neutral
HRA,1a,TRUE,Persons receiving cash assistance (000),353.3,357.2,337.0,360.0,369.5,*,*,Neutral,Neutral
HRA,1a,FALSE,Persons receiving recurring assistance (000),347.5,352.0,331.3,351.7,361.4,*,*,Neutral,Neutral
HRA,1a,FALSE,Persons receiving emergency assistance (000),5.8,5.1,5.6,8.3,8.2,*,*,Neutral,Up
HRA,1a,FALSE,Cash assistance applications (000),NA,377.9,385.1,348.5,330.6,*,*,Neutral,NA
HRA,1a,FALSE,Cash assistance application acceptance rate (%),NA,NA,45.7%,50.9%,51.2%,*,*,Neutral,NA
HRA,1a,FALSE,Cash assistance cases in sanction process (%),NA,NA,6.3%,4.8%,4.0%,*,*,Neutral,NA
HRA,1a,FALSE,Cash assistance cases in sanction status (%),NA,NA,5.2%,3.5%,1.2%,*,*,Neutral,NA
HRA,1b,TRUE,Persons receiving Supplemental Nutrition Assistance Program (SNAP) benefits (000),"1,834.2","1,873.5","1,755.8","1,706.7","1,693.2",*,*,Neutral,Neutral
HRA,1b,FALSE,- Cash assistance persons receiving SNAP benefits (000),404.4,408.6,385.9,402.1,409.3,*,*,Neutral,Neutral
HRA,1b,FALSE,- Non-cash assistance persons receiving SNAP benefits (000),"1,159.4","1,189.0","1,098.7","1,039.0","1,020.7",*,*,Neutral,Down
HRA,1b,FALSE,- SSI persons receiving SNAP benefits (000),274.4,275.9,271.3,265.6,263.1,*,*,Neutral,Neutral
HRA,1b,FALSE,- Cash assistance households receiving SNAP benefits (000),194.4,196.7,186.4,195.5,198.9,*,*,Neutral,Neutral
HRA,1b,FALSE,- Non-cash assistance households receiving SNAP benefits (000),565.3,585.7,541.6,515.6,510.4,*,*,Neutral,Down
HRA,1b,FALSE,- SSI households receiving SNAP benefits (000),250.2,252.7,249.2,244.2,242.1,*,*,Neutral,Neutral
HRA,1b,FALSE,SNAP applications filed electronically (%),NA,NA,58.7%,71.5%,73.4%,*,*,Neutral,NA
HRA,1c,TRUE,Medicaid enrollees administered by HRA (000),"3,006.5","3,085.6","2,808.0","2,371.7","2,085.7",*,*,Neutral,Down
HRA,1c,FALSE,- Medicaid-only enrollees administered by HRA (000),"2,241.6","2,317.8","2,064.4","1,608.1","1,321.2",*,*,Neutral,Down
SBS,2a,FALSE,Unique customers served,NA,NA,NA,NA,"104,715",*,*,Up,NA
HRA,2a,FALSE,"HRA clients who obtained employment, and maintained employment or did not return to CA for 12 months (city fiscal year-to-date average) (%)",NA,NA,NA,64.2%,63.5%,*,*,Up,NA
HRA,2b,FALSE,Total WeCARE cases,"25,454","33,280","29,138","46,510","49,637",*,*,Neutral,Up
HRA,2b,TRUE,Number of WeCARE federal disability awards,"4,957","3,739","2,950","3,141","3,227",*,*,Neutral,Down
HRA,2c,FALSE,Total new child support orders obtained,"14,988","17,981","20,286","20,351","19,579",*,*,Up,Up
HRA,2c,FALSE,Total child support cases with active orders (end of period),"287,832","287,426","285,173","283,114","282,451",*,*,Up,Neutral
HRA,3a,TRUE,HRA clients successfully diverted at PATH from entering a homeless shelter (%),20.6%,23.5%,28.5%,16.3%,12.6%,*,*,Neutral,Down
HRA,3a,FALSE,Requests for Emergency Assistance at the Rental Assistance Unit,NA,NA,"57,912","65,138","82,306",*,*,Neutral,NA
HRA,3a,FALSE,Rent Assistance Unit Emergency Assistance Requests Approved (%),NA,NA,66.5%,74.2%,67.6%,*,*,Neutral,NA
HRA,3a,FALSE,Low-income cases facing eviction and homelessness who were assisted with legal services in Housing Court,NA,NA,NA,"8,900","11,837",*,*,Neutral,NA
HRA,3b,TRUE,Eligible families seeking shelter at Prevention Assistance and Temporary Housing (PATH) who entered HRA's domestic violence shelters (%),83.5%,80.8%,78.5%,48.6%,30.5%,*,*,Neutral,Down
HRA,3b,FALSE,Domestic violence non-residential services programs active caseload,NA,NA,NA,NA,"1,775",*,*,Up,NA
HRA,3b,FALSE,Average number of families served per day in the domestic violence shelter program,766,755,769,786,803,*,*,Neutral,Neutral
HRA,3b,FALSE,Number of domestic violence emergency beds (capacity),"2,228","2,228","2,228","2,228","2,282",*,*,Neutral,Neutral
HRA,4a,FALSE,Adult Protective Services (APS) assessment cases,"3,050","3,419","3,723","3,905","4,041",*,*,Neutral,Up
HRA,4a,FALSE,APS assessment cases accepted or denied for undercare within State-mandated 60 days (%),98.5%,98.8%,98.4%,88.8%,94.3%,*,*,Up,Neutral
HRA,4a,TRUE,APS cases eligible for services,"6,227","6,098","5,406","6,107","6,847",*,*,Neutral,Neutral
HRA,4a,FALSE,Total referrals received for APS,"20,791","22,055","23,657","24,203","25,614",*,*,Neutral,Up
HRA,4a,TRUE,Personal care services - average weekly billable hours,48.4,49.9,48.1,43.6,43.6,*,*,Neutral,Down
HRA,4a,FALSE,Cases receiving home care services,"99,716","116,883","118,120","122,173","136,367",*,*,Neutral,Up
HRA,4a,FALSE,New applicants for HIV/AIDS Services Administration (HASA) services,"5,797","5,491","5,385","5,033","5,045",*,*,Neutral,Down
HRA,4a,TRUE,Individuals receiving HASA services,"32,427","32,442","32,288","32,110","31,693",*,*,Neutral,Neutral
HRA,4a,FALSE,HASA clients receiving ongoing enhanced housing benefits (%),83.7%,84.3%,84.0%,84.7%,84.3%,*,*,Neutral,Neutral
HRA,5a,FALSE,"Cash assistance recoveries and cost avoidance for fraud, waste and abuse ($000,000)",NA,$177.8,$180.7,$182.7,$171.0,*,*,Up,NA
HRA,5a,FALSE,"Supplemental Nutritional Assistance Program (SNAP) cost avoidance for fraud and abuse ($000,000)",NA,$29.6,$29.6,$30.0,$28.5,*,*,Up,NA
HRA,5a,FALSE,Fair hearings requested,NA,NA,"396,196","328,469","285,165",*,*,Neutral,NA
HRA,5a,FALSE,Fair hearings upheld (%),NA,NA,7.0%,5.2%,7.9%,*,*,Up,NA
HRA,5a,FALSE,IDNYC - number of applications processed,NA,NA,NA,"366,473","546,599",*,*,Up,NA
HRA,5a,FALSE,IDNYC - total number of cards issued,NA,NA,NA,"334,794","544,083",*,*,Up,NA
HRA,5a,FALSE,IDNYC application timeliness (%),NA,NA,NA,95%,99%,*,*,Up,NA
HRA,5a,FALSE,Billed revenue as a percentage of budgeted revenue (%),78.3%,71.9%,72.8%,74.2%,74.5%,*,*,Up,Neutral
HRA,5a,FALSE,Claims filed within 60 days of the close of the expenditure month (%),100.0%,99.0%,100.0%,100.0%,100.0%,*,*,Up,Neutral
HRA,5a,FALSE,Calls resolved within 48 hours to the customer service call line for vendors (%),71.3%,67.7%,69.4%,71.0%,82.3%,*,*,Up,Up
HRA,5a,FALSE,Collisions involving City vehicles,53,43,62,43,51,*,*,Down,Neutral
HRA,5a,FALSE,Workplace injuries reported,195,194,196,170,172,*,*,Down,Down
HRA,5a,FALSE,Applications filed with the United States Citizenship and Immigration Services,NA,NA,NA,"1,548","1,415",*,*,Neutral,NA
HRA,6a,FALSE,Completed requests for interpretation,"732,605","1,016,101","1,116,886","909,712","989,229",*,*,Neutral,Up
HRA,6a,FALSE,"Customer satisfaction rating for Public Health Insurance Program services ÒgoodÓ or ""excellent"" (%)",NA,88.0%,91.0%,92.0%,93.0%,*,*,Up,NA
LAW,1a,TRUE,Total cases commenced against the City,"9,695","9,528","9,045","9,922","9,507",*,*,Neutral,Neutral
LAW,1b,FALSE,Affirmative motions to dismiss or for summary judgment,NA,"1,798","1,903","1,561","1,516",*,*,Neutral,NA
LAW,1c,FALSE,Dismissals and discontinuances,NA,264,173,228,243,*,*,Up,NA
LAW,4a,FALSE,Completed requests for interpretation,763,705,860,762,"1,002",*,*,Neutral,Up
LAW,4a,FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
LAW,4a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
LPC,1a,TRUE,- Total number of buildings designated,"1,040","1,408",324,"2,013","1,411",*,*,Neutral,Up
LPC,1b,TRUE,Work permit applications received,"11,823","11,886","13,235","13,273","13,963",*,*,Neutral,Up
LPC,1b,TRUE,Actions taken on work permit applications received,"11,238","11,767","13,176","15,446","14,081",*,*,Neutral,Up
LPC,1b,FALSE,Permits for minor work issued within 10 days (%),81%,83%,91%,92%,95%,*,*,Up,Up
LPC,1c,FALSE,Number of complaints received,670,815,875,772,792,*,*,Down,Up
LPC,1c,FALSE,Investigations completed,796,806,783,755,997,*,*,Neutral,Up
LPC,1c,FALSE,"Enforcement actions taken: Total warning letters, NOVs, and stop work orders issued","1,100","1,030",993,"1,014","1,221",*,*,Neutral,Neutral
LPC,1c,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),79%,87%,97%,98%,98%,*,*,Up,Up
LPC,1d,FALSE,Archaeology applications received,283,242,284,308,297,*,*,Neutral,Up
LPC,2a,FALSE,Letters responded to in 14 days (%),88%,88%,94%,85%,80%,*,*,Up,Neutral
LPC,2a,FALSE,E-mails responded to in 14 days (%),98%,99%,100%,100%,98%,*,*,Up,Neutral
NYCEM,1a,FALSE,Incidents,"3,347","3,443","3,702","4,091","4,267",*,*,Neutral,Up
NYCEM,1a,FALSE,- Field responses,720,674,810,938,"1,019",*,*,Neutral,Up
NYCEM,1a,FALSE,- Incidents monitored from Watch Command,"2,627","2,769","2,892","3,153","3,248",*,*,Neutral,Up
NYCEM,1a,FALSE,Interagency meetings held during field responses,716,578,290,291,277,*,*,Neutral,Down
NYCEM,1a,TRUE,Emergency Operations Center activations,8,6,8,7,6,*,*,Neutral,Down
NYCEM,1b,FALSE,Participation in drills coordinated by other agencies or organizations,31,29,35,44,53,*,*,Up,Up
NYCEM,2a,FALSE,Ready New York webpage views,NA,NA,NA,"15,443","81,570",*,*,Neutral,NA
NYCEM,2a,FALSE,Subscribers to Corpnet System,"1,570","1,545","1,590","1,610","1,545",*,*,Up,Neutral
NYCEM,2b,TRUE,Community Emergency Response Team (CERT) volunteer hours,"22,415","25,913","11,704","16,299","17,430",*,*,Neutral,Down
NYCEM,2b,FALSE,CERT members trained,191,347,297,264,168,*,*,Neutral,Down
NYCEM,2c,FALSE,Notify NYC messages issued,905,"1,189","1,190","1,390","1,505",*,*,Neutral,Up
NYCEM,2c,FALSE,"Subscribers to Notify NYC, CorpNet, Advance Warning System, and Citizen Corps Newsletter",NA,"182,895","237,740","310,072","415,203",*,*,Neutral,NA
NYCEM,3a,FALSE,Letters responded to in 14 days (%),97%,99%,100%,100%,100%,*,*,Up,Neutral
NYCEM,3a,FALSE,E-mails responded to in 14 days (%),81%,95%,95%,97%,99%,*,*,Up,Up
NYCHA,1a,FALSE,Rent delinquency Rate (%),NA,NA,NA,NA,27.7%,*,*,Down,NA
NYCHA,1d,FALSE,Crime Rate Year To Date,11.9,12.4,13.3,12.0,13.2,*,*,Down,Neutral
NYCHA,2b,FALSE,Apartments vacated,5.0%,4.5%,4.8%,3.9%,4.1%,*,*,Neutral,Down
NYCHA,2b,FALSE,Applicants placed in public housing,"6,012","4,233","5,988","4,939","4,211",*,*,Up,Down
NYCHA,2b,FALSE,Working families residing in public housing (cumulative) (%),48.0%,47.8%,47.6%,47.5%,46.7%,*,*,Up,Neutral
NYCHA,2c,FALSE,Families on Section 8 waiting list (000),124,123,123,121,119,*,*,Down,Neutral
NYCHA,2c,FALSE,Annual Section 8 inspections,89.2%,84.4%,89.8%,88.9%,78.0%,*,*,Up,Neutral
NYCHA,2c,FALSE,Annual Section 8 recertifications,86.4%,91.2%,92.9%,96.7%,98.0%,*,*,Up,Up
NYCHA,2c,FALSE,Applicants placed through Section 8 vouchers,421,933,384,892,"1,706",*,*,Up,Up
NYCHA,2d,TRUE,Apartments (000),179,179,179,178,178,*,*,Neutral,Neutral
NYCHA,2d,FALSE,Number of developments,334,334,334,328,328,*,*,Neutral,Neutral
NYCHA,2d,FALSE,Number of buildings,"2,597","2,585","2,563","2,553","2,528",*,*,Neutral,Neutral
NYCHA,3a,FALSE,Residents approved for the Emergency Transfer Program,849,937,808,815,931,*,*,Neutral,Neutral
NYCHA,3a,FALSE,Referrals to supportive social services rendered to senior residents,"94,665","96,548","84,987","70,824","53,763",*,*,Up,Down
NYCHA,3a,FALSE,Senior centers,38,37,33,32,15,*,*,Neutral,Down
NYCHA,3b,FALSE,Job training programs - ratio of job placements to program graduates (current period),61%,91%,73%,69%,63%,*,*,Up,Neutral
NYCHA,3b,FALSE,Youth placed in jobs through youth employment programs,"1,188",607,918,918,888,*,*,Up,Down
NYCHA,4a,FALSE,Completed requests for interpretation,"134,069","150,619","154,339","187,871","196,996",*,*,Neutral,Up
NYCHA,4a,FALSE,Letters responded to in 14 days (%),80.6%,74.0%,80.3%,79.0%,84.7%,*,*,Up,Neutral
NYCHA,4a,FALSE,E-mails responded to in 14 days (%),86.7%,85.8%,87.1%,88.3%,82.9%,*,*,Up,Neutral
NYCHA,4a,FALSE,Average wait time to speak with a customer service agent (minutes),18,16,19,15,13,*,*,Down,Down
NYCHA,4a,FALSE,CORE facility rating,80,83,94,93,92,*,*,Up,Up
NYCHA,4a,FALSE,Calls answered in 30 seconds (%),70.0%,65.0%,68.0%,72.0%,64.0%,*,*,Up,Neutral
NYCHA,4a,FALSE,Number of agency customers surveyed for overall customer satisfaction,"18,929","21,354","27,660","33,843","25,764",*,*,Up,Up
NYPD,1a,FALSE,Crime related to domestic violence - Murder,75,71,56,61,53,*,*,Down,Down
NYPD,1a,FALSE,- Rape,535,464,471,481,526,*,*,Down,Neutral
NYPD,1a,FALSE,- Felonious assault,"6,781","7,420","8,335","7,771","7,986",*,*,Down,Up
NYPD,1a,FALSE,- Murder,0,0,1,0,0,*,*,Down,Neutral
NYPD,1a,FALSE,- Rape,5,4,2,6,2,*,*,Down,Down
NYPD,1a,FALSE,- Robbery,148,106,94,55,66,*,*,Down,Down
NYPD,1a,FALSE,- Felonious assault,250,200,172,176,148,*,*,Down,Down
NYPD,1a,FALSE,- Burglary,81,81,53,51,33,*,*,Down,Down
NYPD,1a,FALSE,- Grand larceny,326,305,331,325,279,*,*,Down,Neutral
NYPD,1a,FALSE,- Grand larceny auto,2,3,1,1,4,*,*,Down,Up
NYPD,1a,FALSE,School safety - Other criminal categories,"3,295","2,626","2,485","2,286","2,219",*,*,Down,Down
NYPD,1a,FALSE,- Other incidents,"5,365","4,350","3,811","3,975","4,092",*,*,Down,Down
NYPD,1a,FALSE,Gang motivated incidents,310,264,225,328,349,*,*,Neutral,Up
NYPD,1a,FALSE,Gun arrests,"5,835","5,581","4,776","4,776","5,194",*,*,Neutral,Down
NYPD,1a,FALSE,Major felony crime arrests,NA,"40,258","42,444","41,599","43,516",*,*,Neutral,NA
NYPD,1a,FALSE,Narcotics arrests,"99,344","81,737","75,389","61,007","56,320",*,*,Neutral,Down
NYPD,1a,FALSE,Juvenile arrests for major felonies,"3,450","3,016","2,883","2,671","2,495",*,*,Neutral,Down
NYPD,1b,FALSE,Counterterrorism training (hrs) - Uniformed members,"336,552","259,761","206,781","216,556","210,582",*,*,Neutral,Down
NYPD,1b,FALSE,- Non-members,"74,236","66,186","17,588","26,152","48,607",*,*,Neutral,Down
NYPD,1c,FALSE,End-to-end average response time to all crimes in progress (minutes:seconds),NA,11:18,10:55,10:58,10:35,*,*,Down,NA
NYPD,1c,FALSE,End-to-end average response time to critical crimes in progress (minutes:seconds),NA,6:37,7:08,7:29,7:09,*,*,Down,NA
NYPD,1c,FALSE,End-to-end average response time to serious crimes in progress (minutes:seconds),NA,8:31,8:55,9:38,9:24,*,*,Down,NA
NYPD,1c,FALSE,End-to-end average response time to non-critical crimes in progress (minutes:seconds),NA,15:58,15:03,16:17,17:21,*,*,Down,NA
NYPD,1c,FALSE,Average response time to critical crimes in progress (dispatch and travel time only) (minutes),4.6,4.7,4.9,5.9,5.5,*,*,Down,Up
NYPD,1c,FALSE,Average response time to serious crimes in progress (dispatch and travel time only) (minutes),6.5,6.5,6.8,8.2,8.1,*,*,Down,Up
NYPD,1c,FALSE,Average response time to non-critical crimes in progress (dispatch and travel time only) (minutes),13.3,13.2,12.0,13.9,14.5,*,*,Down,Neutral
NYPD,1c,FALSE,Crime in progress calls,NA,NA,NA,"275,032","261,992",*,*,Neutral,NA
NYPD,2a,FALSE,Driving while intoxicated (DWI) related fatalities,18,40,38,31,35,*,*,Down,Up
NYPD,2a,FALSE,DWI arrests,NA,"8,723","10,123","8,155","7,577",*,*,Neutral,NA
NYPD,2a,FALSE,Total moving violation summonses (000),"1,015",999,"1,052","1,005","1,032",*,*,Neutral,Neutral
NYPD,2a,FALSE,- Summonses for hazardous violations,"706,250","684,012","749,561","832,975","879,790",*,*,Neutral,Up
NYPD,2a,FALSE,- Summonses for prohibited use of cellular phones,"153,671","148,276","142,112","125,787","125,241",*,*,Neutral,Down
NYPD,3a,TRUE,Quality-of-life summonses,"497,656","458,397","404,278","331,832","323,980",*,*,Neutral,Down
NYPD,3a,FALSE,- Unreasonable noise summonses,"14,302","14,044","12,991","8,249","5,487",*,*,Neutral,Down
NYPD,3a,FALSE,- Graffiti summonses,NA,44,18,11,7,*,*,Neutral,NA
NYPD,3a,FALSE,Graffiti arrests,NA,"3,502","3,167","2,687","2,123",*,*,Neutral,NA
NYPD,4a,TRUE,"Courtesy, Professionalism and Respect (CPR) testing - Tests conducted","8,268","8,414","8,558","8,489","8,243",*,*,Neutral,Neutral
NYPD,4a,FALSE,- Exceptionally good,5,6,8,7,0,*,*,Up,Down
NYPD,4a,FALSE,- Acceptable,"8,232","8,371","8,508","8,416","8,142",*,*,Neutral,Neutral
NYPD,4a,FALSE,- Below standard,31,37,42,66,101,*,*,Down,Up
NYPD,4a,FALSE,Total civilian complaints against members of the service,"5,724","5,455","5,573","4,165","4,711",*,*,Down,Down
NYPD,5a,FALSE,Cases commenced against the City in state and federal court,"3,628","3,997","3,701","3,549","2,933",*,*,Neutral,Down
NYPD,5a,FALSE,Payout ($000),"$131,666","$120,676","$154,106","$202,654","$228,454",*,*,Down,Up
NYPD,5a,FALSE,"Collisions involving City vehicles (per 100,000 miles)",NA,5.3,3.5,3.2,3.9,*,*,Down,NA
NYPD,5a,FALSE,Workplace injuries reported (uniform and civilian),NA,"8,420","8,512","7,564","7,249",*,*,Down,NA
NYPD,5a,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),63%,62%,64%,66%,68%,*,*,Neutral,Up
NYPD,6a,FALSE,Completed requests for interpretation,"258,018","264,803","263,035","273,575","238,382",*,*,Neutral,Neutral
NYPD,6a,FALSE,Calls answered in 30 seconds (%),100%,99%,99%,99%,99%,*,*,Up,Neutral
NYPD,6b,FALSE,Percent meeting time to close Ð Residential Noise - Loud Music/Party (0.3 days),94,93,95,93,88,*,*,Neutral,Neutral
NYPD,6b,FALSE,Percent meeting time to close Ð Residential Noise - Banging/Pounding (0.3 days),92,91,94,91,86,*,*,Neutral,Neutral
NYPD,6b,FALSE,Percent meeting time to close Ð Noise - Street/Sidewalk (0.3 days),95,94,96,95,90,*,*,Neutral,Neutral
NYPD,6b,FALSE,Percent meeting time to close Ð Commercial Noise (0.3 days),95,94,97,96,93,*,*,Neutral,Neutral
NYPD,6b,FALSE,Percent meeting time to close Ð Blocked Driveway - No Access (0.3 days),92,91,94,90,84,*,*,Neutral,Neutral
NYPL,1a,FALSE,Active library cards (000),580,967,902,"1,320",729,*,*,Neutral,Up
NYPL,1a,FALSE,New library card registrations,"364,848","355,034","366,357","483,103","277,641",*,*,Neutral,Neutral
OATH,1a,FALSE,OATH Trials Division cases with decisions issued within 45 business days (%),98%,98%,94%,93%,93%,*,*,Up,Neutral
OATH,1a,FALSE,Cases filed at the OATH Trials Division (total),"2,027","2,358","2,665","2,754","2,553",*,*,Neutral,Up
OATH,1a,FALSE,Cases closed at the OATH Trials Division (total),"2,001","2,326","2,425","2,724","2,560",*,*,Neutral,Up
